tag,total pct of presence,pct of presence in 2017,pct of presence in 2018
striped-top,0.12,0.0,0.2
striped-shorts,0.12,0.08,0.15
polka-dot-pants,0.12,0.08,0.15
striped-coat,0.12,0.0,0.2
americana,0.12,0.0,0.2
leather-shorts,0.12,0.08,0.15
cartoon,0.12,0.0,0.2
striped-suit,0.12,0.0,0.2
rave,0.12,0.0,0.2
aztec,0.12,0.0,0.2
skirt-on-pants,0.12,0.0,0.2
contrasted-denim,0.12,0.08,0.15
knit-pants,0.12,0.08,0.15
antique,0.12,0.0,0.2
shaped-coat,0.12,0.0,0.2
pastel-coat,0.12,0.0,0.2
brown-skirt,0.12,0.0,0.2
total-khaki,0.12,0.15,0.1
brown-coat,0.12,0.0,0.2
brandenburgs,0.12,0.0,0.2
brown-jacket,0.12,0.0,0.2
coloured-animal-pattern,0.12,0.08,0.15
butterfly,0.12,0.0,0.2
red-jumper,0.12,0.0,0.2
sleep-shirt,0.12,0.23,0.05
beanie,0.12,0.0,0.2
salmon-pink,0.12,0.23,0.05
festival-look,0.12,0.3,0.0
jodhpur,0.09,0.23,0.0
reptile,0.09,0.08,0.1
eyes,0.09,0.08,0.1
liberty,0.09,0.23,0.0
bow-belt,0.09,0.23,0.0
purple-pants,0.09,0.08,0.1
striped-jumper,0.09,0.15,0.05
check-shorts,0.09,0.08,0.1
grey-shirt,0.09,0.08,0.1
total-gold,0.09,0.15,0.05
food,0.09,0.08,0.1
green-shorts,0.09,0.08,0.1
knit-shorts,0.09,0.0,0.15
kangaroo-pocket,0.09,0.0,0.15
gladiator,0.09,0.0,0.15
circular,0.09,0.0,0.15
python,0.09,0.0,0.15
brooch,0.09,0.0,0.15
celestial,0.09,0.0,0.15
shearling,0.09,0.08,0.1
argyle-knit-pattern,0.09,0.15,0.05
ultra-voluminous-dress,0.09,0.0,0.15
1950,0.09,0.0,0.15
crystal,0.09,0.0,0.15
trompe-l-oeil,0.09,0.0,0.15
overshirt,0.09,0.0,0.15
intarsia,0.09,0.0,0.15
transparent-detail,0.09,0.08,0.1
camel,0.09,0.08,0.1
beige-shorts,0.09,0.0,0.15
silk-top,0.09,0.0,0.15
navy-blue-shorts,0.09,0.0,0.15
burgundy-dress,0.09,0.08,0.1
pleated-pants,0.09,0.08,0.1
university,0.09,0.15,0.05
fur-coat,0.09,0.15,0.05
surf,0.09,0.0,0.15
around-the-waist,0.06,0.08,0.05
s-m,0.06,0.15,0.0
leopard-coat,0.06,0.15,0.0
silver-gold,0.06,0.15,0.0
whipstitched,0.06,0.15,0.0
strapless-dress,0.06,0.15,0.0
colourful-velvet,0.06,0.08,0.05
aviator,0.06,0.08,0.05
white-denim,0.06,0.08,0.05
fringed-jacket,0.06,0.15,0.0
total-leopard,0.06,0.15,0.0
leopard-top,0.06,0.15,0.0
french,0.06,0.15,0.0
red-lips,0.06,0.08,0.05
1960,0.06,0.15,0.0
shawl,0.06,0.08,0.05
purple-coat,0.06,0.08,0.05
grey-denim,0.06,0.0,0.1
silver-shirt,0.06,0.08,0.05
ribbed,0.06,0.15,0.0
navy-blue-suit,0.06,0.08,0.05
utility-denim,0.06,0.08,0.05
denim-shirt,0.06,0.08,0.05
black-denim,0.06,0.08,0.05
oversize-sweater-on-skirt-dress,0.06,0.0,0.1
grey-jumper,0.06,0.08,0.05
cropped-knit-top,0.06,0.0,0.1
clinical,0.06,0.0,0.1
about-time,0.06,0.0,0.1
destroyed-knit,0.06,0.0,0.1
total-burgundy,0.06,0.0,0.1
velvet-dress,0.06,0.08,0.05
braided,0.06,0.08,0.05
wrap-around-the-shoulder,0.06,0.0,0.1
crepe,0.06,0.0,0.1
apron,0.06,0.0,0.1
tennis,0.06,0.08,0.05
khaki-shorts,0.06,0.0,0.1
brown-leather,0.06,0.08,0.05
silver-coat,0.06,0.08,0.05
orange-jumper,0.06,0.0,0.1
blanket,0.06,0.0,0.1
kilt,0.06,0.0,0.1
duffel-coat,0.06,0.0,0.1
white-blazer,0.06,0.0,0.1
bronze,0.06,0.0,0.1
pink-shorts,0.06,0.0,0.1
tricolor,0.06,0.0,0.1
jouy,0.06,0.15,0.0
taupe,0.06,0.15,0.0
boots,0.06,0.0,0.1
safety-pin,0.06,0.08,0.05
overalls,0.06,0.0,0.1
knee-high-tights,0.06,0.08,0.05
knotted-shirt,0.06,0.0,0.1
mottled-effect,0.06,0.0,0.1
equestrian,0.06,0.15,0.0
burgundy-skirt,0.06,0.15,0.0
petrol,0.06,0.15,0.0
colored-tights,0.06,0.0,0.1
chevron,0.06,0.15,0.0
denim-short,0.06,0.08,0.05
floral-shorts,0.06,0.08,0.05
snake,0.03,0.08,0.0
rope,0.03,0.08,0.0
velvet-pants,0.03,0.08,0.0
dark-lips,0.03,0.08,0.0
matrix,0.03,0.08,0.0
crocodile,0.03,0.08,0.0
velvet-jacket,0.03,0.08,0.0
charms,0.03,0.08,0.0
palm-tree,0.03,0.08,0.0
red-shorts,0.03,0.0,0.05
pants-into-boots,0.03,0.0,0.05
pareo,0.03,0.0,0.05
sailor-pants,0.03,0.0,0.05
babies,0.03,0.0,0.05
superstitious,0.03,0.0,0.05
sequin-shorts,0.03,0.0,0.05
sheepskin,0.03,0.0,0.05
fire,0.03,0.08,0.0
coated-denim,0.03,0.08,0.0
backless,0.03,0.0,0.05
bat-sleeves,0.03,0.0,0.05
total-leather,0.03,0.0,0.05
wool,0.03,0.0,0.05
burgundy-pants,0.03,0.0,0.05
knotted-scarf,0.03,0.0,0.05
photography,0.03,0.0,0.05
figure,0.03,0.0,0.05
boxer,0.03,0.0,0.05
nun,0.03,0.0,0.05
varsity-jacket,0.03,0.0,0.05
fighter-bomber,0.03,0.0,0.05
polka-dot-jumper,0.03,0.0,0.05
jeweled-fringes,0.03,0.0,0.05
brown-shorts,0.03,0.0,0.05
total-mustard,0.03,0.0,0.05
tribal,0.03,0.0,0.05
puffed-sleeve,0.03,0.0,0.05
taupe-pants-trousers,0.03,0.08,0.0
taupe-jacket,0.03,0.08,0.0
corduroy,0.03,0.08,0.0
poncho,0.03,0.0,0.05
colourful-fur,0.03,0.0,0.05
sport-jersey,0.03,0.0,0.05
lace-up-boots,0.03,0.0,0.05
matching-bag,0.03,0.0,0.05
over-layer,0.03,0.0,0.05
jacket-coat-thrown-over-the-shoulders,0.03,0.0,0.05
pointy-shoes,0.03,0.0,0.05
padded,0.03,0.0,0.05
armor,0.03,0.08,0.0
horse,0.03,0.08,0.0
hawai,0.03,0.08,0.0
brown-jumper,0.03,0.08,0.0
brown-shirt,0.03,0.08,0.0
twin-set,0.03,0.0,0.05
purple-jacket,0.03,0.0,0.05
leather-tailoring,0.03,0.0,0.05
garter,0.03,0.0,0.05
total-beige,0.03,0.08,0.0
printed-tights,0.03,0.0,0.05
satin-skirt,0.03,0.0,0.05
houndstooth,0.03,0.08,0.0
houndstooth-coat,0.03,0.08,0.0
square-sunglasses,0.03,0.08,0.0
brown-suit,0.03,0.0,0.05
khaki-jumper,0.03,0.0,0.05
military-knit,0.03,0.0,0.05
total-brown,0.03,0.0,0.05
varnish,0.03,0.08,0.0
wrap-around-sandals,0.03,0.0,0.05
foldover,0.03,0.0,0.05
purple-shirt,0.03,0.0,0.05
sequin-suit,0.03,0.0,0.05
ziggy,0.03,0.0,0.05
