tag,total pct of presence,pct of presence in 2017,pct of presence in 2018,Absolute change,Relative change
leather-dress,0.42,0.3,0.49,0.19,63.33
clueless,0.42,0.84,0.15,-0.69,-82.14
zip-embellished,0.42,0.08,0.64,0.56,700.0
opposite-style,0.42,0.08,0.64,0.56,700.0
bold-polka-dot,0.42,0.0,0.68,0.68,inf
schoolboy,0.42,0.0,0.68,0.68,inf
quadrille,0.39,0.76,0.15,-0.61,-80.26
hybrid,0.39,0.76,0.15,-0.61,-80.26
leopard,0.39,0.53,0.29,-0.24,-45.28
nautical,0.39,0.38,0.39,0.01,2.63
khaki-pants,0.39,0.23,0.49,0.26,113.04
powder-pink,0.39,0.38,0.39,0.01,2.63
patterned-tailoring,0.39,0.61,0.24,-0.37,-60.66
pvc,0.39,0.91,0.05,-0.86,-94.51
small-fringes,0.39,0.38,0.39,0.01,2.63
mandarin-collar,0.39,0.46,0.34,-0.12,-26.09
insect,0.39,0.68,0.2,-0.48,-70.59
check-pants,0.39,0.23,0.49,0.26,113.04
leg-of-mutton-sleeve,0.36,0.68,0.15,-0.53,-77.94
culotte,0.36,0.76,0.1,-0.66,-86.84
beige-skirt,0.36,0.53,0.24,-0.29,-54.72
long-length-gloves,0.36,0.23,0.44,0.21,91.3
side-stripes,0.36,0.23,0.44,0.21,91.3
flamenco,0.36,0.53,0.24,-0.29,-54.72
side-striped-pants,0.36,0.23,0.44,0.21,91.3
leather-pants,0.36,0.68,0.15,-0.53,-77.94
fringed-dress,0.36,0.3,0.39,0.09,30.0
yellow-skirt,0.36,0.38,0.34,-0.04,-10.53
check-suit,0.36,0.3,0.39,0.09,30.0
openwork,0.36,0.0,0.59,0.59,inf
skinny,0.36,0.23,0.44,0.21,91.3
activist,0.36,0.0,0.59,0.59,inf
ginger-hair,0.36,0.08,0.54,0.46,575.0
hippy,0.36,0.08,0.54,0.46,575.0
straw-hat,0.36,0.0,0.59,0.59,inf
khaki-dress,0.33,0.53,0.2,-0.33,-62.26
velvet,0.33,0.38,0.29,-0.09,-23.68
cycling-pants,0.33,0.08,0.49,0.41,512.5
panelled,0.33,0.15,0.44,0.29,193.33
oversize-denim,0.33,0.46,0.24,-0.22,-47.83
shades-of-colour,0.33,0.46,0.24,-0.22,-47.83
fuchsia,0.33,0.3,0.34,0.04,13.33
one-colour-head-to-toe,0.33,0.23,0.39,0.16,69.57
pintucked,0.33,0.68,0.1,-0.58,-85.29
cobalt,0.33,0.46,0.24,-0.22,-47.83
white-suit,0.33,0.15,0.44,0.29,193.33
floppy-tie,0.33,0.3,0.34,0.04,13.33
sequin-top,0.33,0.23,0.39,0.16,69.57
silver-top,0.33,0.23,0.39,0.16,69.57
rainbow,0.33,0.0,0.54,0.54,inf
total-green,0.33,0.0,0.54,0.54,inf
camouflage,0.33,0.0,0.54,0.54,inf
bell-pants,0.33,0.61,0.15,-0.46,-75.41
grey-suit,0.33,0.08,0.49,0.41,512.5
opulent,0.33,0.3,0.34,0.04,13.33
pocket-shirt,0.3,0.38,0.24,-0.14,-36.84
destroyed-denim,0.3,0.53,0.15,-0.38,-71.7
grey-coat,0.3,0.15,0.39,0.24,160.0
tudor,0.3,0.68,0.05,-0.63,-92.65
black-jumpsuit,0.3,0.15,0.39,0.24,160.0
brown-dress,0.3,0.23,0.34,0.11,47.83
square-neck,0.3,0.38,0.24,-0.14,-36.84
check-coat,0.3,0.08,0.44,0.36,450.0
fitted-knit,0.3,0.46,0.2,-0.26,-56.52
perfecto,0.3,0.38,0.24,-0.14,-36.84
fairy,0.3,0.53,0.15,-0.38,-71.7
playsuit,0.3,0.23,0.34,0.11,47.83
patterned-blazer,0.3,0.15,0.39,0.24,160.0
mermaid,0.3,0.23,0.34,0.11,47.83
polo-dress,0.3,0.08,0.44,0.36,450.0
slit-pants,0.3,0.0,0.49,0.49,inf
green-coat,0.3,0.0,0.49,0.49,inf
lime,0.3,0.0,0.49,0.49,inf
wrap-top,0.3,0.23,0.34,0.11,47.83
paint,0.3,0.0,0.49,0.49,inf
total-orange,0.3,0.0,0.49,0.49,inf
chinoiserie,0.3,0.0,0.49,0.49,inf
white-shorts,0.3,0.23,0.34,0.11,47.83
total-denim,0.3,0.3,0.29,-0.01,-3.33
anorak,0.3,0.0,0.49,0.49,inf
red-and-pink,0.3,0.0,0.49,0.49,inf
reefer,0.3,0.0,0.49,0.49,inf
poetic,0.3,0.0,0.49,0.49,inf
blue-shorts,0.3,0.08,0.44,0.36,450.0
badge,0.3,0.61,0.1,-0.51,-83.61
oversize-hat,0.3,0.0,0.49,0.49,inf
taffetas,0.27,0.68,0.0,-0.68,-100.0
short-sleeves-on-long-sleeves,0.27,0.08,0.39,0.31,387.5
studs,0.27,0.53,0.1,-0.43,-81.13
red-jacket,0.27,0.15,0.34,0.19,126.67
uniform,0.27,0.15,0.34,0.19,126.67
perforated,0.27,0.68,0.0,-0.68,-100.0
orange-pants,0.27,0.3,0.24,-0.06,-20.0
asia,0.27,0.3,0.24,-0.06,-20.0
overcoat,0.27,0.23,0.29,0.06,26.09
casual-tailoring,0.27,0.68,0.0,-0.68,-100.0
face,0.27,0.53,0.1,-0.43,-81.13
round-buckle,0.27,0.08,0.39,0.31,387.5
chain,0.27,0.0,0.44,0.44,inf
cargo-pants,0.27,0.0,0.44,0.44,inf
polka-dot-top,0.27,0.08,0.39,0.31,387.5
pencil-dress,0.27,0.0,0.44,0.44,inf
navy-blue-coat,0.27,0.0,0.44,0.44,inf
blue-suit,0.27,0.23,0.29,0.06,26.09
elevated-sportswear,0.27,0.08,0.39,0.31,387.5
tartan,0.27,0.23,0.29,0.06,26.09
scotland,0.27,0.23,0.29,0.06,26.09
belle-epoque,0.27,0.0,0.44,0.44,inf
light-green,0.27,0.0,0.44,0.44,inf
scarf-print,0.27,0.0,0.44,0.44,inf
bubble-skirt,0.27,0.0,0.44,0.44,inf
black-leather,0.24,0.61,0.0,-0.61,-100.0
sleeveless-coat,0.24,0.3,0.2,-0.1,-33.33
navy-blue-jumper,0.24,0.08,0.34,0.26,325.0
fortuni-pleats,0.24,0.38,0.15,-0.23,-60.53
cocoon,0.24,0.08,0.34,0.26,325.0
khaki-shirt,0.24,0.23,0.24,0.01,4.35
khaki-skirt,0.24,0.46,0.1,-0.36,-78.26
lingerie-top,0.24,0.46,0.1,-0.36,-78.26
retro-knit,0.24,0.23,0.24,0.01,4.35
over-corset,0.24,0.46,0.1,-0.36,-78.26
yellow-coat,0.24,0.08,0.34,0.26,325.0
yellow-pants,0.24,0.3,0.2,-0.1,-33.33
polka-dot-skirt,0.24,0.08,0.34,0.26,325.0
check-shirt,0.24,0.0,0.39,0.39,inf
keyhole-neckline,0.24,0.0,0.39,0.39,inf
bucket-hat,0.24,0.0,0.39,0.39,inf
veil,0.24,0.53,0.05,-0.48,-90.57
socks-in-sandals,0.24,0.08,0.34,0.26,325.0
socks,0.24,0.08,0.34,0.26,325.0
strappy-sandals,0.24,0.0,0.39,0.39,inf
dusty-pink,0.21,0.3,0.15,-0.15,-50.0
denim-skirt,0.21,0.38,0.1,-0.28,-73.68
navy-blue-skirt,0.21,0.23,0.2,-0.03,-13.04
suede,0.21,0.46,0.05,-0.41,-89.13
box-pleats,0.21,0.15,0.24,0.09,60.0
pink-jumper,0.21,0.15,0.24,0.09,60.0
religious,0.21,0.53,0.0,-0.53,-100.0
embellished-knit,0.21,0.38,0.1,-0.28,-73.68
leather-coat,0.21,0.38,0.1,-0.28,-73.68
fringed-skirt,0.21,0.15,0.24,0.09,60.0
white-jumpsuit,0.21,0.15,0.24,0.09,60.0
turtleneck-dress,0.21,0.53,0.0,-0.53,-100.0
knit-threads,0.21,0.0,0.34,0.34,inf
total-silver,0.21,0.15,0.24,0.09,60.0
england,0.21,0.15,0.24,0.09,60.0
green-shirt,0.21,0.0,0.34,0.34,inf
big-cuff,0.21,0.0,0.34,0.34,inf
baroque,0.21,0.38,0.1,-0.28,-73.68
workwear,0.21,0.23,0.2,-0.03,-13.04
hand,0.21,0.0,0.34,0.34,inf
suit-pants,0.21,0.0,0.34,0.34,inf
fluffy,0.21,0.08,0.29,0.21,262.5
hickory-stripes,0.21,0.38,0.1,-0.28,-73.68
rounded-shoulders,0.21,0.08,0.29,0.21,262.5
shorts-suit,0.21,0.0,0.34,0.34,inf
total-oversize-look,0.21,0.0,0.34,0.34,inf
bolero,0.21,0.0,0.34,0.34,inf
total-grey,0.21,0.0,0.34,0.34,inf
flounced-skirt,0.21,0.3,0.15,-0.15,-50.0
gypsy,0.21,0.0,0.34,0.34,inf
fold,0.21,0.0,0.34,0.34,inf
headband,0.21,0.15,0.24,0.09,60.0
beret,0.21,0.0,0.34,0.34,inf
godet-skirt,0.18,0.46,0.0,-0.46,-100.0
pocket-jacket,0.18,0.23,0.15,-0.08,-34.78
round-sunglasses,0.18,0.46,0.0,-0.46,-100.0
dressing-gown,0.18,0.15,0.2,0.05,33.33
dominatrix,0.18,0.46,0.0,-0.46,-100.0
pleated-dress,0.18,0.3,0.1,-0.2,-66.67
sequin-skirt,0.18,0.23,0.15,-0.08,-34.78
total-navy-blue,0.18,0.15,0.2,0.05,33.33
robot,0.18,0.3,0.1,-0.2,-66.67
raglan-sleeve,0.18,0.23,0.15,-0.08,-34.78
mao-collar,0.18,0.08,0.24,0.16,200.0
yellow-jacket,0.18,0.08,0.24,0.16,200.0
uneven-polka-dots,0.18,0.46,0.0,-0.46,-100.0
spain,0.18,0.23,0.15,-0.08,-34.78
fruit,0.18,0.08,0.24,0.16,200.0
ethnic,0.18,0.0,0.29,0.29,inf
polka-dot-jacket,0.18,0.0,0.29,0.29,inf
total-polka-dot,0.18,0.0,0.29,0.29,inf
sci-fi,0.18,0.08,0.24,0.16,200.0
tie-dye,0.18,0.0,0.29,0.29,inf
jabot,0.18,0.0,0.29,0.29,inf
silver-jacket,0.18,0.08,0.24,0.16,200.0
hip-hop,0.18,0.0,0.29,0.29,inf
denim-dress,0.18,0.3,0.1,-0.2,-66.67
lace-skirt,0.18,0.15,0.2,0.05,33.33
graphic-knit,0.18,0.08,0.24,0.16,200.0
patchwork-knit,0.18,0.15,0.2,0.05,33.33
pastel-tailoring,0.18,0.0,0.29,0.29,inf
sailor,0.18,0.0,0.29,0.29,inf
orange-shirt,0.18,0.0,0.29,0.29,inf
low-waist-skirt,0.18,0.0,0.29,0.29,inf
short-sleeved-jacket,0.18,0.0,0.29,0.29,inf
lining,0.18,0.0,0.29,0.29,inf
1940,0.18,0.0,0.29,0.29,inf
puffer,0.18,0.08,0.24,0.16,200.0
shoulder-flap,0.18,0.0,0.29,0.29,inf
kimono,0.18,0.08,0.24,0.16,200.0
khaki-coat,0.18,0.15,0.2,0.05,33.33
silver-skirt,0.18,0.23,0.15,-0.08,-34.78
boy-scout,0.18,0.0,0.29,0.29,inf
catsuit,0.18,0.0,0.29,0.29,inf
turquoise,0.15,0.23,0.1,-0.13,-56.52
light-grey,0.15,0.15,0.15,0.0,0.0
animal-jewelry,0.15,0.38,0.0,-0.38,-100.0
khaki-jacket,0.15,0.23,0.1,-0.13,-56.52
knotted-strap,0.15,0.3,0.05,-0.25,-83.33
leather-skirt,0.15,0.15,0.15,0.0,0.0
dickey,0.15,0.08,0.2,0.12,150.0
mousseline,0.15,0.08,0.2,0.12,150.0
fringed-pants,0.15,0.38,0.0,-0.38,-100.0
detective,0.15,0.08,0.2,0.12,150.0
cowboy,0.15,0.15,0.15,0.0,0.0
beige-suit,0.15,0.08,0.2,0.12,150.0
floral-top,0.15,0.3,0.05,-0.25,-83.33
oversize-tailoring,0.15,0.08,0.2,0.12,150.0
baseball,0.15,0.23,0.1,-0.13,-56.52
gilet,0.15,0.15,0.15,0.0,0.0
coloured-denim,0.15,0.15,0.15,0.0,0.0
slit-sleeves,0.15,0.15,0.15,0.0,0.0
polka-dot-shirt,0.15,0.08,0.2,0.12,150.0
space,0.15,0.15,0.15,0.0,0.0
sequin-jacket,0.15,0.0,0.24,0.24,inf
1920,0.15,0.08,0.2,0.12,150.0
fitted-denim,0.15,0.15,0.15,0.0,0.0
beige-jumper,0.15,0.23,0.1,-0.13,-56.52
brown-pants,0.15,0.15,0.15,0.0,0.0
preppy,0.15,0.0,0.24,0.24,inf
landscape,0.15,0.08,0.2,0.12,150.0
tuxedo,0.15,0.0,0.24,0.24,inf
bikini,0.15,0.0,0.24,0.24,inf
tiger,0.15,0.0,0.24,0.24,inf
yellow-shirt,0.15,0.15,0.15,0.0,0.0
grey-shorts,0.15,0.0,0.24,0.24,inf
legging-under,0.15,0.0,0.24,0.24,inf
braces,0.15,0.3,0.05,-0.25,-83.33
scalloped,0.15,0.3,0.05,-0.25,-83.33
choker,0.15,0.38,0.0,-0.38,-100.0
tights,0.15,0.08,0.2,0.12,150.0
grey-jumpsuit,0.12,0.15,0.1,-0.05,-33.33
etiquette,0.12,0.23,0.05,-0.18,-78.26
orange-coat,0.12,0.23,0.05,-0.18,-78.26
utility-jumpsuit,0.12,0.23,0.05,-0.18,-78.26
black-blazer,0.12,0.08,0.15,0.07,87.5
button-front-skirt,0.12,0.08,0.15,0.07,87.5
total-lilac,0.12,0.08,0.15,0.07,87.5
blue-jumpsuit,0.12,0.3,0.0,-0.3,-100.0
yellow-jumper,0.12,0.08,0.15,0.07,87.5
one-shoulder,0.12,0.15,0.1,-0.05,-33.33
purple-skirt,0.12,0.08,0.15,0.07,87.5
bow-tie,0.12,0.23,0.05,-0.18,-78.26
bleached-denim,0.12,0.23,0.05,-0.18,-78.26
harem-pants,0.12,0.23,0.05,-0.18,-78.26
waistcoat,0.12,0.23,0.05,-0.18,-78.26
teddy,0.12,0.23,0.05,-0.18,-78.26
long-fringes,0.12,0.0,0.2,0.2,inf
yellow-shorts,0.12,0.0,0.2,0.2,inf
striped-top,0.12,0.0,0.2,0.2,inf
striped-shorts,0.12,0.08,0.15,0.07,87.5
polka-dot-pants,0.12,0.08,0.15,0.07,87.5
striped-coat,0.12,0.0,0.2,0.2,inf
americana,0.12,0.0,0.2,0.2,inf
leather-shorts,0.12,0.08,0.15,0.07,87.5
cartoon,0.12,0.0,0.2,0.2,inf
striped-suit,0.12,0.0,0.2,0.2,inf
rave,0.12,0.0,0.2,0.2,inf
aztec,0.12,0.0,0.2,0.2,inf
skirt-on-pants,0.12,0.0,0.2,0.2,inf
contrasted-denim,0.12,0.08,0.15,0.07,87.5
knit-pants,0.12,0.08,0.15,0.07,87.5
antique,0.12,0.0,0.2,0.2,inf
shaped-coat,0.12,0.0,0.2,0.2,inf
pastel-coat,0.12,0.0,0.2,0.2,inf
brown-skirt,0.12,0.0,0.2,0.2,inf
total-khaki,0.12,0.15,0.1,-0.05,-33.33
brown-coat,0.12,0.0,0.2,0.2,inf
brandenburgs,0.12,0.0,0.2,0.2,inf
brown-jacket,0.12,0.0,0.2,0.2,inf
coloured-animal-pattern,0.12,0.08,0.15,0.07,87.5
butterfly,0.12,0.0,0.2,0.2,inf
red-jumper,0.12,0.0,0.2,0.2,inf
sleep-shirt,0.12,0.23,0.05,-0.18,-78.26
beanie,0.12,0.0,0.2,0.2,inf
salmon-pink,0.12,0.23,0.05,-0.18,-78.26
festival-look,0.12,0.3,0.0,-0.3,-100.0
jodhpur,0.09,0.23,0.0,-0.23,-100.0
reptile,0.09,0.08,0.1,0.02,25.0
eyes,0.09,0.08,0.1,0.02,25.0
liberty,0.09,0.23,0.0,-0.23,-100.0
bow-belt,0.09,0.23,0.0,-0.23,-100.0
purple-pants,0.09,0.08,0.1,0.02,25.0
striped-jumper,0.09,0.15,0.05,-0.1,-66.67
check-shorts,0.09,0.08,0.1,0.02,25.0
grey-shirt,0.09,0.08,0.1,0.02,25.0
total-gold,0.09,0.15,0.05,-0.1,-66.67
food,0.09,0.08,0.1,0.02,25.0
green-shorts,0.09,0.08,0.1,0.02,25.0
knit-shorts,0.09,0.0,0.15,0.15,inf
kangaroo-pocket,0.09,0.0,0.15,0.15,inf
gladiator,0.09,0.0,0.15,0.15,inf
circular,0.09,0.0,0.15,0.15,inf
python,0.09,0.0,0.15,0.15,inf
brooch,0.09,0.0,0.15,0.15,inf
celestial,0.09,0.0,0.15,0.15,inf
shearling,0.09,0.08,0.1,0.02,25.0
argyle-knit-pattern,0.09,0.15,0.05,-0.1,-66.67
ultra-voluminous-dress,0.09,0.0,0.15,0.15,inf
1950,0.09,0.0,0.15,0.15,inf
crystal,0.09,0.0,0.15,0.15,inf
trompe-l-oeil,0.09,0.0,0.15,0.15,inf
overshirt,0.09,0.0,0.15,0.15,inf
intarsia,0.09,0.0,0.15,0.15,inf
transparent-detail,0.09,0.08,0.1,0.02,25.0
camel,0.09,0.08,0.1,0.02,25.0
beige-shorts,0.09,0.0,0.15,0.15,inf
silk-top,0.09,0.0,0.15,0.15,inf
navy-blue-shorts,0.09,0.0,0.15,0.15,inf
burgundy-dress,0.09,0.08,0.1,0.02,25.0
pleated-pants,0.09,0.08,0.1,0.02,25.0
university,0.09,0.15,0.05,-0.1,-66.67
fur-coat,0.09,0.15,0.05,-0.1,-66.67
surf,0.09,0.0,0.15,0.15,inf
around-the-waist,0.06,0.08,0.05,-0.03,-37.5
s-m,0.06,0.15,0.0,-0.15,-100.0
leopard-coat,0.06,0.15,0.0,-0.15,-100.0
silver-gold,0.06,0.15,0.0,-0.15,-100.0
whipstitched,0.06,0.15,0.0,-0.15,-100.0
strapless-dress,0.06,0.15,0.0,-0.15,-100.0
colourful-velvet,0.06,0.08,0.05,-0.03,-37.5
aviator,0.06,0.08,0.05,-0.03,-37.5
white-denim,0.06,0.08,0.05,-0.03,-37.5
fringed-jacket,0.06,0.15,0.0,-0.15,-100.0
total-leopard,0.06,0.15,0.0,-0.15,-100.0
leopard-top,0.06,0.15,0.0,-0.15,-100.0
french,0.06,0.15,0.0,-0.15,-100.0
red-lips,0.06,0.08,0.05,-0.03,-37.5
1960,0.06,0.15,0.0,-0.15,-100.0
shawl,0.06,0.08,0.05,-0.03,-37.5
purple-coat,0.06,0.08,0.05,-0.03,-37.5
grey-denim,0.06,0.0,0.1,0.1,inf
silver-shirt,0.06,0.08,0.05,-0.03,-37.5
ribbed,0.06,0.15,0.0,-0.15,-100.0
navy-blue-suit,0.06,0.08,0.05,-0.03,-37.5
utility-denim,0.06,0.08,0.05,-0.03,-37.5
denim-shirt,0.06,0.08,0.05,-0.03,-37.5
black-denim,0.06,0.08,0.05,-0.03,-37.5
oversize-sweater-on-skirt-dress,0.06,0.0,0.1,0.1,inf
grey-jumper,0.06,0.08,0.05,-0.03,-37.5
cropped-knit-top,0.06,0.0,0.1,0.1,inf
clinical,0.06,0.0,0.1,0.1,inf
about-time,0.06,0.0,0.1,0.1,inf
destroyed-knit,0.06,0.0,0.1,0.1,inf
total-burgundy,0.06,0.0,0.1,0.1,inf
velvet-dress,0.06,0.08,0.05,-0.03,-37.5
braided,0.06,0.08,0.05,-0.03,-37.5
wrap-around-the-shoulder,0.06,0.0,0.1,0.1,inf
crepe,0.06,0.0,0.1,0.1,inf
apron,0.06,0.0,0.1,0.1,inf
tennis,0.06,0.08,0.05,-0.03,-37.5
khaki-shorts,0.06,0.0,0.1,0.1,inf
brown-leather,0.06,0.08,0.05,-0.03,-37.5
silver-coat,0.06,0.08,0.05,-0.03,-37.5
orange-jumper,0.06,0.0,0.1,0.1,inf
blanket,0.06,0.0,0.1,0.1,inf
kilt,0.06,0.0,0.1,0.1,inf
duffel-coat,0.06,0.0,0.1,0.1,inf
white-blazer,0.06,0.0,0.1,0.1,inf
bronze,0.06,0.0,0.1,0.1,inf
pink-shorts,0.06,0.0,0.1,0.1,inf
tricolor,0.06,0.0,0.1,0.1,inf
jouy,0.06,0.15,0.0,-0.15,-100.0
taupe,0.06,0.15,0.0,-0.15,-100.0
boots,0.06,0.0,0.1,0.1,inf
safety-pin,0.06,0.08,0.05,-0.03,-37.5
overalls,0.06,0.0,0.1,0.1,inf
knee-high-tights,0.06,0.08,0.05,-0.03,-37.5
knotted-shirt,0.06,0.0,0.1,0.1,inf
mottled-effect,0.06,0.0,0.1,0.1,inf
equestrian,0.06,0.15,0.0,-0.15,-100.0
burgundy-skirt,0.06,0.15,0.0,-0.15,-100.0
petrol,0.06,0.15,0.0,-0.15,-100.0
colored-tights,0.06,0.0,0.1,0.1,inf
chevron,0.06,0.15,0.0,-0.15,-100.0
denim-short,0.06,0.08,0.05,-0.03,-37.5
floral-shorts,0.06,0.08,0.05,-0.03,-37.5
snake,0.03,0.08,0.0,-0.08,-100.0
rope,0.03,0.08,0.0,-0.08,-100.0
velvet-pants,0.03,0.08,0.0,-0.08,-100.0
dark-lips,0.03,0.08,0.0,-0.08,-100.0
matrix,0.03,0.08,0.0,-0.08,-100.0
crocodile,0.03,0.08,0.0,-0.08,-100.0
velvet-jacket,0.03,0.08,0.0,-0.08,-100.0
charms,0.03,0.08,0.0,-0.08,-100.0
palm-tree,0.03,0.08,0.0,-0.08,-100.0
red-shorts,0.03,0.0,0.05,0.05,inf
pants-into-boots,0.03,0.0,0.05,0.05,inf
pareo,0.03,0.0,0.05,0.05,inf
sailor-pants,0.03,0.0,0.05,0.05,inf
babies,0.03,0.0,0.05,0.05,inf
superstitious,0.03,0.0,0.05,0.05,inf
sequin-shorts,0.03,0.0,0.05,0.05,inf
sheepskin,0.03,0.0,0.05,0.05,inf
fire,0.03,0.08,0.0,-0.08,-100.0
coated-denim,0.03,0.08,0.0,-0.08,-100.0
backless,0.03,0.0,0.05,0.05,inf
bat-sleeves,0.03,0.0,0.05,0.05,inf
total-leather,0.03,0.0,0.05,0.05,inf
wool,0.03,0.0,0.05,0.05,inf
burgundy-pants,0.03,0.0,0.05,0.05,inf
knotted-scarf,0.03,0.0,0.05,0.05,inf
photography,0.03,0.0,0.05,0.05,inf
figure,0.03,0.0,0.05,0.05,inf
boxer,0.03,0.0,0.05,0.05,inf
nun,0.03,0.0,0.05,0.05,inf
varsity-jacket,0.03,0.0,0.05,0.05,inf
fighter-bomber,0.03,0.0,0.05,0.05,inf
polka-dot-jumper,0.03,0.0,0.05,0.05,inf
jeweled-fringes,0.03,0.0,0.05,0.05,inf
brown-shorts,0.03,0.0,0.05,0.05,inf
total-mustard,0.03,0.0,0.05,0.05,inf
tribal,0.03,0.0,0.05,0.05,inf
puffed-sleeve,0.03,0.0,0.05,0.05,inf
taupe-pants-trousers,0.03,0.08,0.0,-0.08,-100.0
taupe-jacket,0.03,0.08,0.0,-0.08,-100.0
corduroy,0.03,0.08,0.0,-0.08,-100.0
poncho,0.03,0.0,0.05,0.05,inf
colourful-fur,0.03,0.0,0.05,0.05,inf
sport-jersey,0.03,0.0,0.05,0.05,inf
lace-up-boots,0.03,0.0,0.05,0.05,inf
matching-bag,0.03,0.0,0.05,0.05,inf
over-layer,0.03,0.0,0.05,0.05,inf
jacket-coat-thrown-over-the-shoulders,0.03,0.0,0.05,0.05,inf
pointy-shoes,0.03,0.0,0.05,0.05,inf
padded,0.03,0.0,0.05,0.05,inf
armor,0.03,0.08,0.0,-0.08,-100.0
horse,0.03,0.08,0.0,-0.08,-100.0
hawai,0.03,0.08,0.0,-0.08,-100.0
brown-jumper,0.03,0.08,0.0,-0.08,-100.0
brown-shirt,0.03,0.08,0.0,-0.08,-100.0
twin-set,0.03,0.0,0.05,0.05,inf
purple-jacket,0.03,0.0,0.05,0.05,inf
leather-tailoring,0.03,0.0,0.05,0.05,inf
garter,0.03,0.0,0.05,0.05,inf
total-beige,0.03,0.08,0.0,-0.08,-100.0
printed-tights,0.03,0.0,0.05,0.05,inf
satin-skirt,0.03,0.0,0.05,0.05,inf
houndstooth,0.03,0.08,0.0,-0.08,-100.0
houndstooth-coat,0.03,0.08,0.0,-0.08,-100.0
square-sunglasses,0.03,0.08,0.0,-0.08,-100.0
brown-suit,0.03,0.0,0.05,0.05,inf
khaki-jumper,0.03,0.0,0.05,0.05,inf
military-knit,0.03,0.0,0.05,0.05,inf
total-brown,0.03,0.0,0.05,0.05,inf
varnish,0.03,0.08,0.0,-0.08,-100.0
wrap-around-sandals,0.03,0.0,0.05,0.05,inf
foldover,0.03,0.0,0.05,0.05,inf
purple-shirt,0.03,0.0,0.05,0.05,inf
sequin-suit,0.03,0.0,0.05,0.05,inf
ziggy,0.03,0.0,0.05,0.05,inf
