slug,look,type,season,designer,city,models,keywords
67828,26,woman,spring-summer-2018,roland-mouret,london,['alanna-arrington'],"['bustier', 'black', 'organza', 'low-waist', 'dress', 'slit-dress', 'purple', 'beading', 'sequin', 'applique', 'transparent', 'embellishment', 'delicate', 'evening-wear', 'brown-hair']"
68329,28,woman,spring-summer-2018,antonio-berardi,london,['alanna-arrington'],"['red', 'suit', 'colourful-tailoring', 'deconstructed', 'shoulder-pads', 'pocket', 'wrap', 'asymmetrical', 'monochrome', 'pants', 'red-pants', 'cropped-pants', 'bold-colours', 'total-look', 'total-red', 'total-monochrome-look', 'one-colour-head-to-toe', 'brown-hair']"
68308,7,woman,spring-summer-2018,antonio-berardi,london,['alanna-arrington'],"['asymmetrical', 'drape', 'sleeveless', 'fitted', 'fluid', 'top', 'black', 'pants', 'khaki', 'flare-pants', 'khaki-pants', 'bell-pants', 'cropped-pants', 'one-shoulder', 'asymmetrical-top', 'brown-hair']"
67627,30,woman,spring-summer-2018,house-of-holland,london,['alanna-arrington'],"['dress', 'long-dress', 'black', 'black-dress', 'evening-wear', 'spaghetti-strap', 'wave', 'cut-out', 'fluid-dress', 'fluid', 'delicate', 'stripes', 'head-accessory', 'brown-hair']"
20049,4,woman,spring-summer-2017,preen-by-thornton-bregazzi,london,['alanna-arrington'],"['zebra', 'stripes', 'black-white', 'total-look', 'cut-out', 'jacket', 'shoulder-pads', 'gathers', 'frill', 'tulle', 'lace', 'applique', 'embroidery', 'logo', 'pants', 'black-pants', 'masculine', 'animal', 'nature', 'horizontal-stripes', 'badge']"
68166,56,woman,spring-summer-2018,emporio-armani,london,['ania-chiz'],"['total-look', 'sleeveless', 'satin', 'cut-out', 'silver', 'wave', 'top', 'pants', 'fluid']"
67754,32,woman,spring-summer-2018,anya-hindmarch,london,['ania-chiz'],"['yellow', 'yellow-dress', 'off-the-shoulder', 'embellishment', 'long-dress', 'slit', 'slit-dress', 'pastel-sorbet', 'ruffle', 'doll']"
67824,23,woman,spring-summer-2018,roland-mouret,london,['ania-chiz'],"['transparent', 'shirt', 'short-sleeves', 'applique', 'floral', 'bra', 'collar', 'delicate', 'sequin', 'beading', 'embellishment', 'romantic', 'skirt', 'long-skirt', 'print', 'texture']"
67669,7,woman,spring-summer-2018,halpern,london,['ania-chiz'],"['dress', 'sequin', 'total-sequin', 'asymmetrical', 'asymmetrical-dress', 'cut-out', 'mono-sleeve', 'mini-dress', 'frill', 'high-necked', 'disco', 'studio-54', 'party', 'cocktail', 'evening-wear', 'mini', 'sequin-dress', 'sparkling']"
67448,19,woman,spring-summer-2018,ports-1961,london,['ania-chiz'],"['white-skirt', 'top', 'tank-top', 'spaghetti-strap', 'skirt', 'minimal', 'fringes', 'high-waist', 'highwaist-skirt', 'white']"
67738,16,woman,spring-summer-2018,anya-hindmarch,london,['ania-chiz'],"['blue', 'light-blue', 'blue-coat', 'brocard', 'knot', 'collar', 'embellishment', 'pastel-sorbet', 'girly', 'doll', 'babydoll', 'steep', 'head-accessory', 'embellished-collar']"
68884,20,woman,spring-summer-2018,mary-katrantzou,london,['laura-toth'],"['check', 'coat', 'print', 'pattern', 'raincoat', 'high-necked', 'midi-skirt', 'total-look', 'technical', 'check-jacket', 'check-skirt', 'skirt-suit', 'pattern-all-over', 'belt-over']"
68874,9,woman,spring-summer-2018,mary-katrantzou,london,['laurijn-bijnen'],"['floral', 'floral-dress', 'pocket', 'patch', 'pattern-mix', 'high-necked', 'drawstring', 'bold-floral', 'technical', 'fluid', 'urban', 'total-floral', 'high-necked-dress', 'floral-print', 'workwear']"
68878,14,woman,spring-summer-2018,mary-katrantzou,london,['rebekka-eriksen'],"['polka-dot', 'total-look', 'jacket', 'mustard', 'cropped-jacket', 'pocket', 'utility', 'shirt', 'collar', 'high-waist', 'highwaist-skirt', 'ruffle', 'drawstring', 'midi-skirt', 'urban', 'technical', 'bold-polka-dot', 'one-pattern-all-over', 'total-polka-dot', 'polka-dot-jacket', 'polka-dot-skirt', 'polka-dot-shirt', 'patterned-shirt']"
